SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,September-15-2025,Single Family Residential,525 164th Pl SE,Bothell,WA,98012,560000,3,3.0,Mill Creek,1676,8726,1984,,334,10,Sold,,,https://www.redfin.com/WA/Bothell/525-164th-Pl-SE-98012/home/2797484,NWMLS as Distributed by MLS Grid,2416708,N,Y,47.8490002,-122.2244136
PAST SALE,April-17-2025,Single Family Residential,20108 Jewell Rd,Bothell,WA,98012,1050000,3,2.5,Bothell,1849,3049,2016,,568,60,Sold,,,https://www.redfin.com/WA/Bothell/20108-Jewell-Rd-98012/home/101730790,NWMLS as Distributed by MLS Grid,2347396,N,Y,47.8151791,-122.1823733
PAST SALE,May-2-2025,Single Family Residential,2517 Valley Circle Dr,Bothell,WA,98012,980000,5,2.5,Bothell,1996,7405,1978,,491,,Sold,,,https://www.redfin.com/WA/Bothell/2517-Valley-Circle-Dr-98012/home/2777364,NWMLS as Distributed by MLS Grid,2357821,N,Y,47.8399489,-122.1985056
PAST SALE,September-24-2025,Single Family Residential,18021 44th Ave SE,Bothell,WA,98012,1220000,4,2.5,Bothell,2346,3920,2017,,520,64,Sold,,,https://www.redfin.com/WA/Bothell/18021-44th-Ave-SE-98012/home/112922786,NWMLS as Distributed by MLS Grid,2424743,N,Y,47.8338772,-122.1734286
PAST SALE,May-15-2025,Condo/Co-op,1612 201st Pl SE Unit 8A,Bothell,WA,98012,415000,2,2.0,Thrashers Corner,830,,1988,,500,614,Sold,,,https://www.redfin.com/WA/Bothell/1612-201st-Pl-SE-98012/unit-8A/home/2825514,NWMLS as Distributed by MLS Grid,2363142,N,Y,47.8150796,-122.2110916
PAST SALE,April-16-2025,Single Family Residential,27 193rd Pl SW #9,Bothell,WA,98012,845000,3,2.5,Bothell,1818,4281,2010,,465,84,Sold,,,https://www.redfin.com/WA/Bothell/27-193rd-Pl-SW-98012/unit-9/home/39593603,NWMLS as Distributed by MLS Grid,2345104,N,Y,47.8232235,-122.2341321
PAST SALE,June-17-2025,Single Family Residential,19307 25th Ave SE,Bothell,WA,98012,868000,4,2.5,Bothell,1996,3000,2005,,435,67,Sold,,,https://www.redfin.com/WA/Bothell/19307-25th-Ave-SE-98012/home/2909203,NWMLS as Distributed by MLS Grid,2374394,N,Y,47.8226829,-122.198838
PAST SALE,September-22-2025,Single Family Residential,19616 38th Dr SE,Bothell,WA,98012,1320000,4,2.5,Bothell,2395,3485,2014,,551,75,Sold,,,https://www.redfin.com/WA/Bothell/19616-38th-Dr-SE-98012/home/69351358,NWMLS as Distributed by MLS Grid,2426062,N,Y,47.819449,-122.1818848
PAST SALE,June-30-2025,Single Family Residential,18318 Bellflower Rd,Bothell,WA,98012,1485000,4,3.0,Bothell,3045,9148,2021,,488,8,Sold,,,https://www.redfin.com/WA/Bothell/18318-Bellflower-Rd-98012/home/174975732,NWMLS as Distributed by MLS Grid,2375310,N,Y,47.8317087,-122.2322445
