SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,April-29-2025,Single Family Residential,2412 176th Ct NE,Redmond,WA,98052,1650000,4,2.5,Idylwood,1860,12073,1985,,887,,Sold,,,https://www.redfin.com/WA/Redmond/2412-176th-Ct-NE-98052/home/503330,NWMLS as Distributed by MLS Grid,2333251,N,Y,47.6316475,-122.1047024
PAST SALE,May-13-2025,Condo/Co-op,8808 Redmond Woodinville Rd NE Unit C201,Redmond,WA,98052,549000,2,2.0,Redmond,982,,2001,,559,632,Sold,,,https://www.redfin.com/WA/Redmond/8808-Redmond-Woodinville-Rd-NE-98052/unit-C201/home/2073975,NWMLS as Distributed by MLS Grid,2359934,N,Y,47.6812833,-122.1220685
PAST SALE,July-22-2025,Single Family Residential,4812 158th Ct NE,Redmond,WA,98052,1801000,4,2.5,Redmond,2040,10057,1978,,883,,Sold,,,https://www.redfin.com/WA/Redmond/4812-158th-Ct-NE-98052/home/504147,NWMLS as Distributed by MLS Grid,2392620,N,Y,47.65262,-122.1289906
PAST SALE,July-29-2025,Single Family Residential,16102 NE 107th Ct,Redmond,WA,98052,1155000,3,3.0,Education Hill,1440,6853,1980,,802,,Sold,,,https://www.redfin.com/WA/Redmond/16102-NE-107th-Ct-98052/home/324278,NWMLS as Distributed by MLS Grid,2396997,N,Y,47.6967063,-122.1244766
PAST SALE,April-8-2025,Condo/Co-op,6260 139th Ave NE #73,Redmond,WA,98052,540000,2,2.0,Bridle Trails,1143,,1969,,472,678,Sold,,,https://www.redfin.com/WA/Redmond/6260-139th-Ave-NE-98052/unit-73/home/1035,NWMLS as Distributed by MLS Grid,2338223,N,Y,47.662539,-122.1539379
PAST SALE,June-12-2025,Single Family Residential,13780 NE 77th Pl,Redmond,WA,98052,1640000,4,3.0,Grass Lawn Park,2320,8106,1962,,707,,Sold,,,https://www.redfin.com/WA/Redmond/13780-NE-77th-Pl-98052/home/516146,NWMLS as Distributed by MLS Grid,2362062,N,Y,47.673698,-122.1558596
PAST SALE,April-3-2025,Single Family Residential,15536 NE 62nd Ct,Redmond,WA,98052,1685000,4,2.5,Microsoft,2720,10580,2000,,619,,Sold,,,https://www.redfin.com/WA/Redmond/15536-NE-62nd-Ct-98052/home/504378,NWMLS as Distributed by MLS Grid,2331045,N,Y,47.6622981,-122.1333655
PAST SALE,June-10-2025,Single Family Residential,16009 NE 106th St,Redmond,WA,98052,1000000,3,2.0,Education Hill,2010,6750,1980,,498,,Sold,,,https://www.redfin.com/WA/Redmond/16009-NE-106th-St-98052/home/323877,NWMLS as Distributed by MLS Grid,2391231,N,Y,47.6948836,-122.1260075
PAST SALE,May-6-2025,Townhouse,12314 137th Pl NE #1902,Redmond,WA,98052,1363900,4,3.5,Redmond,2188,,2025,,623,,Sold,,,https://www.redfin.com/WA/Redmond/12314-137th-PL-NE-98052/unit-1902/home/195277251,NWMLS as Distributed by MLS Grid,2356087,N,Y,47.710518,-122.158158
